Date,SP500Price,USDCADPrice,Close,Volume,CPI,EPS,PE
9/29/2022,3640.47,1.3677,124.43,2883300,152.7,1.83,67.99453552
9/28/2022,3719.04,1.3605,124.720001,2577400,152.7,1.83,68.15300601
9/27/2022,3647.29,1.3721,123.010002,2511200,152.7,1.83,67.21858033
9/26/2022,3655.04,1.3732,123.889999,3072300,152.7,1.83,67.69945301
9/23/2022,3693.23,1.3589,123.400002,2920600,152.7,1.83,67.43169508
9/22/2022,3757.99,1.3487,124.980003,1905900,152.7,1.83,68.29508361
9/21/2022,3789.93,1.3464,125.610001,2154900,152.7,1.83,68.63934481
9/20/2022,3855.93,1.3362,127.25,2718700,152.7,1.83,69.53551913
9/19/2022,3899.89,1.3248,127.610001,2614800,152.7,1.83,69.73224098
9/16/2022,3873.33,1.326,126.449997,6981200,152.7,1.83,69.09835902
9/15/2022,3901.35,1.3227,127.910004,2643400,152.7,1.83,69.89617705
9/14/2022,3946.01,1.3163,126.980003,2386100,152.7,1.83,69.38797978
9/13/2022,3932.69,1.3167,126.889999,1903400,152.7,1.83,69.33879727
9/12/2022,4110.41,1.2991,128.929993,2317200,152.7,1.83,70.45354809
9/9/2022,4067.36,1.3026,127.68,1781500,152.7,1.83,69.7704918
9/8/2022,4006.18,1.3091,125.639999,1735200,152.7,1.83,68.65573716
9/7/2022,3979.87,1.3125,123.919998,1989900,152.7,1.83,67.7158459
9/6/2022,3908.19,1.3152,122.5,2400700,152.7,1.83,66.93989071
9/2/2022,3924.26,1.3132,123.040001,2857700,152.7,1.83,67.23497322
9/1/2022,3966.85,1.3152,121.889999,2598400,152.7,1.83,66.60655683
8/31/2022,3955,1.3127,122.129997,2395800,152.6,1.83,66.73770328
8/30/2022,3986.16,1.3092,123.150002,2205700,152.6,1.83,67.29508306
8/29/2022,4030.61,1.3011,125.07,1868000,152.6,1.83,68.3442623
8/26/2022,4057.66,1.3033,124.970001,2148700,152.6,1.83,68.28961803
8/25/2022,4199.12,1.2924,125.760002,3446600,152.6,1.83,68.72131257
8/24/2022,4140.77,1.2965,123.199997,4705100,152.6,1.83,67.32240273
8/23/2022,4128.73,1.2952,126.489998,3199900,152.6,1.83,69.12021749
8/22/2022,4137.99,1.3057,127.629997,3192900,152.6,1.83,69.74316776
8/19/2022,4228.48,1.2993,129.050003,2898400,152.6,1.83,70.51912732
8/18/2022,4283.74,1.2947,129.600006,1952000,152.6,1.83,70.81967541
8/17/2022,4274.04,1.2909,129.070007,4121300,152.6,1.83,70.53005847
8/16/2022,4305.2,1.2844,129.259995,1900500,152.6,1.83,70.63387705
8/15/2022,4297.14,1.2904,128.449997,5420000,152.6,1.83,70.19125519
8/12/2022,4280.15,1.2773,128.029999,2393500,152.6,1.83,69.96174809
8/11/2022,4207.27,1.2761,126.889999,2977600,152.6,1.83,69.33879727
8/10/2022,4210.24,1.2773,125.900002,3370300,152.6,1.83,68.7978153
8/9/2022,4122.47,1.2888,124.209999,2421300,152.6,1.83,67.87431639
8/8/2022,4140.06,1.2854,124.599998,5552100,152.6,1.83,68.0874306
8/5/2022,4145.19,1.293,126.470001,2592900,152.6,1.83,69.10929016
8/4/2022,4151.94,1.2864,126.440002,6142800,152.6,1.83,69.09289727
8/3/2022,4155.17,1.2838,126.269997,3685000,152.6,1.83,68.99999836
8/2/2022,4091.19,1.288,124.230003,5088100,152.6,1.83,67.88524754
7/29/2022,4130.29,1.2793,124.860001,4168800,153.1,2.01,62.11940348
7/28/2022,4072.43,1.2804,123.75,4712200,153.1,2.01,61.56716418
7/27/2022,4023.61,1.2821,122.650002,4460700,153.1,2.01,61.01990149
7/26/2022,3921.05,1.2884,121.849998,7420400,153.1,2.01,60.62188955
7/25/2022,3966.84,1.2848,123.099998,6288700,153.1,2.01,61.2437801
7/22/2022,3961.63,1.2914,123.620003,9930500,153.1,2.01,61.50248905
7/21/2022,3998.95,1.2867,124.080002,9400300,153.1,2.01,61.73134428
7/20/2022,3959.9,1.2884,123.699997,4032800,153.1,2.01,61.54228706
7/19/2022,3936.69,1.2869,123.279999,5901800,153.1,2.01,61.33333284
7/18/2022,3830.85,1.2978,120.800003,5602100,153.1,2.01,60.09950398
7/15/2022,3863.16,1.303,118.629997,5066400,153.1,2.01,59.019899
7/14/2022,3790.38,1.3117,119.239998,8553800,153.1,2.01,59.32338209
7/13/2022,3801.78,1.2971,126.349998,3009500,153.1,2.01,62.86069552
7/12/2022,3818.8,1.3021,127.669998,4373000,153.1,2.01,63.51741194
7/11/2022,3854.43,1.3005,127.370003,5152600,153.1,2.01,63.3681607
7/8/2022,3899.38,1.2948,127.559998,3725700,153.1,2.01,63.46268557
7/7/2022,3902.62,1.2964,127.480003,3697700,153.1,2.01,63.42288706
7/6/2022,3845.08,1.3036,125.540001,2721400,153.1,2.01,62.45771194
7/5/2022,3831.39,1.3036,124.870003,3751000,153.1,2.01,62.1243796
6/30/2022,3785.38,1.2872,124.639999,2576600,152.9,2.01,62.00994975
6/29/2022,3818.83,1.2891,126.040001,2194000,152.9,2.01,62.70646816
6/28/2022,3821.55,1.2871,125.339996,3734500,152.9,2.01,62.35820697
6/27/2022,3900.11,1.2878,124.769997,4625300,152.9,2.01,62.07462537
6/24/2022,3911.74,1.2893,124.339996,2823600,152.9,2.01,61.86069453
6/23/2022,3795.73,1.2994,123.349998,3513900,152.9,2.01,61.36815821
6/22/2022,3759.89,1.2945,125.230003,2669300,152.9,2.01,62.30348408
6/21/2022,3764.79,1.2919,126.379997,2865000,152.9,2.01,62.8756204
6/17/2022,3674.84,1.3026,124.529999,6651700,152.9,2.01,61.95522338
6/16/2022,3666.77,1.2949,124.769997,2379700,152.9,2.01,62.07462537
6/15/2022,3789.99,1.289,126.580002,5859300,152.9,2.01,62.97512537
6/14/2022,3735.48,1.2954,126.010002,2545700,152.9,2.01,62.69154328
6/13/2022,3749.63,1.2897,126.68,2796800,152.9,2.01,63.02487562
6/10/2022,3900.86,1.2781,128.550003,2035300,152.9,2.01,63.95522537
6/9/2022,4017.82,1.2696,130.929993,1345200,152.9,2.01,65.1393
6/8/2022,4115.77,1.2557,131.869995,2741800,152.9,2.01,65.60696269
6/7/2022,4160.68,1.2528,133.089996,1710500,152.9,2.01,66.21392836
6/6/2022,4121.43,1.2575,132.490005,2370200,152.9,2.01,65.91542537
6/3/2022,4108.54,1.2593,131.949997,2126600,152.9,2.01,65.64676468
6/2/2022,4176.82,1.2569,132.869995,1542600,152.9,2.01,66.10447512
6/1/2022,4101.23,1.2656,132.449997,1975800,152.9,2.01,65.8955209
5/31/2022,4132.15,1.2644,132.169998,4224100,151.9,2.01,65.75621791
5/27/2022,4158.24,1.2723,130.949997,2647100,151.9,2.01,65.14925224
5/26/2022,4057.84,1.2772,128.539993,1899900,151.9,2.01,63.95024527
5/25/2022,3978.73,1.2815,128.550003,2197500,151.9,2.01,63.95522537
5/24/2022,3941.48,1.2817,128.619995,2712300,151.9,2.01,63.99004726
5/20/2022,3901.36,1.2836,127.25,2369400,151.9,2.01,63.30845771
5/19/2022,3900.79,1.2825,126.980003,2895900,151.9,2.01,63.17413085
5/18/2022,3923.68,1.2888,125.970001,7991600,151.9,2.01,62.67164229
5/17/2022,4088.85,1.2809,127.220001,3126800,151.9,2.01,63.29353284
5/16/2022,4008.01,1.2843,126.889999,2720500,151.9,2.01,63.12935274
5/13/2022,4023.89,1.2908,126.620003,3354900,151.9,2.01,62.99502637
5/12/2022,3930.08,1.3044,125.339996,3375000,151.9,2.01,62.35820697
5/11/2022,3935.18,1.2993,126.389999,5097000,151.9,2.01,62.88059652
5/10/2022,4001.05,1.3023,126.370003,4712300,151.9,2.01,62.87064826
5/9/2022,3991.24,1.3007,127.730003,4991800,151.9,2.01,63.54726517
5/6/2022,4123.34,1.2905,129.589996,3211800,151.9,2.01,64.47263483
5/5/2022,4152.38,1.2832,130.320007,4022600,151.9,2.01,64.83582438
5/4/2022,4300.17,1.2731,132.600006,2792700,151.9,2.01,65.97015224
5/3/2022,4175.48,1.2841,130.970001,1653400,151.9,2.01,65.15920448
5/2/2022,4155.38,1.2878,129.699997,4452100,151.9,2.01,64.52736169
4/29/2022,4131.93,1.2856,129.75,2569500,149.8,2.09,62.08133971
4/28/2022,4287.5,1.2805,131.449997,2793800,149.8,2.09,62.89473541
4/27/2022,4183.96,1.2819,129.679993,2206700,149.8,2.09,62.04784354
4/26/2022,4175.2,1.2825,130.149994,6418700,149.8,2.09,62.2727244
4/25/2022,4296.12,1.2733,131.600006,6559600,149.8,2.09,62.96651005
4/22/2022,4271.78,1.271,132.759995,10172300,149.8,2.09,63.52152871
4/21/2022,4393.66,1.2578,138.570007,12608800,149.8,2.09,66.30143876
4/20/2022,4459.45,1.2498,139.009995,2329600,149.8,2.09,66.51195933
4/19/2022,4462.21,1.2616,138.720001,8113000,149.8,2.09,66.37320622
4/18/2022,4391.69,1.2615,137.179993,6277800,149.8,2.09,65.63636029
4/14/2022,4392.59,1.2598,136.860001,8609600,149.8,2.09,65.48325407
4/13/2022,4446.59,1.2566,136.399994,2727200,149.8,2.09,65.26315502
4/12/2022,4397.45,1.2643,136.449997,3627800,149.8,2.09,65.2870799
4/11/2022,4412.53,1.2631,137.559998,3196800,149.8,2.09,65.81818086
4/8/2022,4488.28,1.2568,136.660004,2162200,149.8,2.09,65.38756172
4/7/2022,4500.21,1.2589,135.570007,4254100,149.8,2.09,64.86603206
4/6/2022,4481.15,1.2542,137.149994,2832400,149.8,2.09,65.6220067
4/5/2022,4525.12,1.2485,137.990005,3716900,149.8,2.09,66.02392584
4/4/2022,4582.64,1.2486,138.229996,3387200,149.8,2.09,66.13875407
4/1/2022,4545.86,1.2518,137.320007,2638900,149.8,2.09,65.70335263
3/31/2022,4530.41,1.2499,137.639999,3097400,148.9,2.09,65.85645885
3/30/2022,4602.45,1.248,139.880005,3703100,148.9,2.09,66.92823206
3/29/2022,4631.6,1.2502,140.369995,2030900,148.9,2.09,67.16267703
3/28/2022,4575.52,1.2519,140.820007,4324900,148.9,2.09,67.37799378
3/25/2022,4543.04,1.2473,141.279999,2855800,148.9,2.09,67.59808565
3/24/2022,4520.16,1.2526,140.490005,1808800,148.9,2.09,67.22009809
3/23/2022,4456.23,1.2559,140.389999,2567200,148.9,2.09,67.17224833
3/22/2022,4511.61,1.2568,142.960007,2030800,148.9,2.09,68.40191722
3/21/2022,4461.18,1.2592,142.710007,1742200,148.9,2.09,68.2823
3/18/2022,4463.09,1.2602,142.130005,10561200,148.9,2.09,68.00478708
3/17/2022,4411.67,1.2625,141.75,1823100,148.9,2.09,67.82296651
3/16/2022,4357.95,1.2676,140.850006,3094900,148.9,2.09,67.39234737
3/15/2022,4262.45,1.2763,140.080002,3086000,148.9,2.09,67.0239244
3/14/2022,4173.11,1.2822,139.080002,3689700,148.9,2.09,66.5454555
3/11/2022,4204.31,1.2743,138.149994,3352900,148.9,2.09,66.1004756
3/10/2022,4259.52,1.2767,138.309998,1974000,148.9,2.09,66.17703254
3/9/2022,4277.88,1.2804,137.75,2298800,148.9,2.09,65.90909091
3/8/2022,4170.62,1.288,135.240005,5323200,148.9,2.09,64.70813636
3/7/2022,4201.09,1.2818,136.300003,5158800,148.9,2.09,65.21531244
3/4/2022,4328.87,1.273,138.25,2369400,148.9,2.09,66.14832536
3/3/2022,4363.49,1.268,139.039993,2825200,148.9,2.09,66.52631244
3/2/2022,4386.54,1.2628,137.630005,2960800,148.9,2.09,65.85167703
3/1/2022,4306.26,1.274,137.399994,3673500,148.9,2.09,65.74162392
2/28/2022,4373.79,1.2675,140.210007,4802100,146.8,2.09,67.08612775
2/25/2022,4384.62,1.2705,140.369995,3658400,146.8,2.09,67.16267703
2/24/2022,4288.7,1.281,137.610001,7836000,146.8,2.09,65.84210574
2/23/2022,4225.5,1.2731,140.490005,3810000,146.8,2.09,67.22009809
2/22/2022,4304.74,1.2769,142.350006,2845300,146.8,2.09,68.11005072
2/18/2022,4348.87,1.2749,141.050003,2147300,146.8,2.09,67.48803971
2/17/2022,4380.26,1.2702,141.460007,2904300,146.8,2.09,67.68421388
2/16/2022,4475.01,1.2681,144.869995,2717600,146.8,2.09,69.31578708
2/15/2022,4471.07,1.2715,145,1637800,146.8,2.09,69.37799043
2/14/2022,4401.67,1.2728,145,4944000,146.8,2.09,69.37799043
2/11/2022,4418.64,1.2736,146.25,2858600,146.8,2.09,69.97607656
2/10/2022,4504.06,1.2719,145.619995,2329900,146.8,2.09,69.67463876
2/9/2022,4587.18,1.267,146.429993,2586200,146.8,2.09,70.06219761
2/8/2022,4521.54,1.2711,147.529999,2963800,146.8,2.09,70.58851627
2/7/2022,4483.87,1.2667,145.770004,3793000,146.8,2.09,69.7464134
2/4/2022,4500.54,1.2764,146.869995,3130000,146.8,2.09,70.27272488
2/3/2022,4477.44,1.2676,146.160004,5062100,146.8,2.09,69.93301627
2/2/2022,4589.32,1.2667,146.759995,3925700,146.8,2.09,70.2200933
2/1/2022,4546.54,1.2686,146.139999,4779000,146.8,2.09,69.9234445
1/31/2022,4515.55,1.2705,144.929993,2539600,145.3,2.09,69.34449426
1/28/2022,4431.85,1.2761,143.179993,6853900,145.3,1.75,81.81713886
1/27/2022,4326.5,1.274,142.130005,9206900,145.3,1.75,81.21714571
1/26/2022,4349.93,1.2665,141.460007,4136400,145.3,1.75,80.83428971
1/25/2022,4356.45,1.2627,141.220001,7835100,145.3,1.75,80.69714343
1/24/2022,4410.13,1.2634,143.339996,8062600,145.3,1.75,81.90856914
1/21/2022,4397.93,1.2581,144.649994,9326800,145.3,1.75,82.65713943
1/20/2022,4482.73,1.2502,145.309998,5743500,145.3,1.75,83.03428457
1/19/2022,4532.76,1.2513,147,6819300,145.3,1.75,84
1/18/2022,4577.34,1.2512,148.690002,10085000,145.3,1.75,84.96571543
1/14/2022,4662.85,1.2553,147.289993,7629100,145.3,1.75,84.16571029
1/13/2022,4659.02,1.252,145.399994,7743100,145.3,1.75,83.08571086
1/12/2022,4726.35,1.2507,144.990005,4232800,145.3,1.75,82.85143143
1/11/2022,4713.07,1.2574,143.789993,3585000,145.3,1.75,82.16571029
